CD_MUNICIPIO,Soma - QT_VOTOS
25011,3507
25038,11117
25054,7075
25070,12468
25097,14746
25119,21236
25135,108875
25151,11534
25178,29564
25194,14965
25216,123571
25232,6232
25259,10427
25275,5918
25291,8821
25313,558690
25330,11721
25356,14648
25372,8623
25399,6308
25410,3921
25437,26290
25453,7785
25470,9748
25496,24462
25518,18803
25534,6135
25550,5042
25577,4249
25593,19814
25615,18488
25631,11706
25658,9626
25674,6524
25690,16861
25712,14107
25739,39778
25755,8099
25771,35953
25798,10220
25810,15461
25836,14130
25852,6448
25879,3752
25895,25284
25917,13249
25933,6024
25950,11201
25976,13209
25992,9590
26018,3974
26034,6122
26050,21670
26077,14615
26093,6264
26115,12403
26131,7552
26158,9787
26174,5424
26190,8908
26212,5286
26239,8907
26255,11005
26271,47793
26298,55964
26310,38412
26336,11005
27006,3742
27014,9400
27022,5771
27030,6166
27049,6374
27057,61009
27065,2832
27073,13340
27081,2695
27090,5155
27111,2699
27138,6393
27154,2406
27170,3113
27197,7724
27219,4041
27235,4147
27251,6416
27278,11486
27294,5048
27316,7473
27332,5228
27359,3888
27375,3126
27391,5033
27413,5286
27430,2270
27456,12675
27472,22688
27499,4705
27510,10346
27537,1597
27553,2795
27570,15744
27596,4916
27618,10837
27634,9594
27650,7228
27677,2788
27693,2722
27715,2300
27731,2802
27758,6755
27774,1756
27790,9065
27812,8000
27839,10488
27855,204887
27871,7106
27898,6924
27910,4326
27936,13267
27952,4770
27979,1871
27995,9251
28010,5615
28037,5542
28053,2489
28070,3086
28096,8202
28118,3065
28134,7232
28150,4553
28177,2637
28193,5074
28215,5393
28231,2354
28258,23869
28274,9656
28290,5016
28312,3059
28339,18554
28355,6131
28371,11002
28398,1261
28410,11134
28436,6302
28452,6616
28479,2725
28495,9211
28517,5173
28533,24037
28550,2250
28576,2859
28592,17056
28614,4843
28630,3478
28657,7030
28673,11431
28690,8389
28711,15449
28738,2648
28754,13701
28770,4646
28797,3053
28819,7751
28835,9934
28851,19944
28878,9237
28894,11494
28916,5282
28932,12904
29173,2
29254,26
29262,404
29270,14
29289,407
29297,20
29319,125
29327,317
29335,193
29343,47
29351,3246
29360,1591
29378,36
29386,6206
29394,20
29408,380
29416,3508
29432,2115
29440,38
29459,481
29467,4373
29475,598
29483,46
29491,1264
29513,1586
29530,100
29548,230
29556,238
29572,101
29580,3
29599,1047
29602,180
29610,39
29645,22
29653,151
29661,6023
29670,16
29688,1785
29696,3647
29700,2320
29718,8
29742,841
29750,13
29777,32
29785,444
29793,80
29807,1458
29840,15
29874,1
29882,10
29890,32
29904,74
29912,21
29947,314
29955,12872
29971,9064
29980,1955
29998,124
30007,22542
30015,1068
30031,11596
30058,32559
30066,3078
30074,34
30082,22
30090,140
30104,633
30112,3058
30120,3371
30147,745
30155,3871
30163,46
30171,11
30180,3534
30198,2117
30201,35
30210,23
30228,5331
30244,628
30252,680
30260,252
30279,131
30287,7885
30309,98
30317,47
30325,16
30333,2
30341,9450
30350,286
30368,40
30376,83
30392,115
30406,38
30414,584
30422,38
30430,13
30449,2449
30457,4511
30465,29
30473,138
30481,905
30490,80
30503,2447
30511,166
30520,27
30538,126
30546,24
30562,3057
30570,101
30597,8
30600,29
30619,353
30627,2454
30635,5188
30651,27
30660,5342
30678,5236
30694,2111
30708,8
30716,8303
30732,2988
30740,212
30759,6957
30767,960
30775,9090
30783,2552
30791,8773
30805,389
30813,5318
30821,4
30830,11947
30848,125
30856,8166
30864,3189
30872,29699
30899,10190
30902,525
30910,8574
30937,2328
30953,4208
30961,934
30970,7931
30996,9684
31003,3188
31011,1445
31038,9493
31054,190875
31070,5581
31097,7866
31119,11635
