fid,CD_MUN,NM_MUN,SIGLA,porcent_nulo_e_branco,13_Soma - QT_VOTOS,22_Soma - QT_VOTOS,branco_Soma - QT_VOTOS,nulo_Soma - QT_VOTOS,porcent_13,porcent_22,normal_13_22,subt_13_22
121,"1303502",Pauini,AM,4.52091767881242,4838,2237,34,301,68.3816254416961,31.6183745583039,0.367632508833922,2601
122,"1303536",Presidente Figueiredo,AM,4.2101698741464,9038,7935,150,596,53.2492782654805,46.7507217345195,0.0649855653096094,1103
123,"1303569",Rio Preto da Eva,AM,4.88437592647495,6752,6081,126,533,52.6143536195745,47.3856463804255,0.0522870723914907,671
124,"1303601",Santa Isabel do Rio Negro,AM,5.25917517972001,3703,1305,29,249,73.9416932907348,26.0583067092652,0.478833865814696,2398
125,"1303700",Santo Antônio do Içá,AM,5.04866661391153,8849,3150,50,588,73.7478123176931,26.2521876823069,0.474956246353863,5699
126,"1303809",São Gabriel da Cachoeira,AM,3.2283105022831,17090,4103,83,624,80.6398339074223,19.3601660925777,0.612796678148445,12987
127,"1303908",São Paulo de Olivença,AM,4.57793959007551,11922,2231,64,615,84.2365576202925,15.7634423797075,0.68473115240585,9691
128,"1303957",São Sebastião do Uatumã,AM,5.29931305201178,2546,2279,58,212,52.7668393782383,47.2331606217617,0.0553367875647668,267
129,"1304005",Silves,AM,3.60731345742052,4771,1081,32,187,81.5276828434723,18.4723171565277,0.630553656869446,3690
130,"1304062",Tabatinga,AM,5.88960615072169,17368,8582,214,1410,66.9287090558767,33.0712909441233,0.338574181117534,8786
131,"1304104",Tapauá,AM,5.31926585339048,4648,3967,51,433,53.9524085896692,46.0475914103308,0.0790481717933836,681
132,"1304203",Tefé,AM,4.36665354449929,20281,11300,196,1246,64.2189924321586,35.7810075678414,0.284379848643172,8981
133,"1304237",Tonantins,AM,4.45979899497487,6307,1298,27,328,82.9322813938198,17.0677186061801,0.658645627876397,5009
134,"1304260",Uarini,AM,4.38164788061597,4087,1936,34,242,67.8565498920804,32.1434501079196,0.357130997841607,2151
135,"1304302",Urucará,AM,4.08163265306122,6317,1908,51,299,76.8024316109423,23.1975683890577,0.536048632218845,4409
136,"1304401",Urucurituba,AM,3.54049372022521,7073,1836,41,286,79.3916264451678,20.6083735548322,0.587832528903356,5237
137,"1400027",Amajari,RR,0.97416349004659,1066,3610,11,35,22.7972626176219,77.2027373823781,-0.544054747647562,-2544
138,"1400050",Alto Alegre,RR,1.28344835936554,2123,6030,28,78,26.0394946645407,73.9605053354593,-0.479210106709187,-3907
